WELFARECODE,MEDICINENAME,件数
2344005F1053,◇炭酸水素ﾅﾄﾘｳﾑ錠500mg,21
3999049F3020,◇ﾀﾞｰﾌﾞﾛｯｸ錠4mg,22
3999019F2049,◇ﾘｾﾄﾞﾛﾝ酸Na錠17.5mg,10
2329028F1236,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙﾅﾄﾘｳﾑ錠10mg,2
1319746Q1045,◇ﾚﾎﾞｶﾊﾞｽﾁﾝ点眼液0.025%,1
1319720Q3175,◇ﾋｱﾙﾛﾝ酸Na点眼液0.1%,17
3399008F1181,◇ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠25mg,3
1169101F3033,◇ﾄﾞﾊﾟｺｰﾙ配合錠L50,82
2233004F1025,クリアナール錠２００ｍｇ（院外専用）,56
2149040F3339,◇ｶﾝﾃﾞｻﾙﾀﾝ錠8mg,10
5200059D1036,ﾂﾑﾗ滋陰降火湯(2.5g/包)TJ-93(院外専用),1
2649804X1265,カチリ(院外専用),4
2649852M1020,エキザルベ軟膏５ｇ（院外専用）,27
4291012F1022,◇ｱﾛﾏｼﾝ錠25mg,5
3134002B2060,◇ﾋﾞﾀﾐﾝB6散10%,3
2649719Q1030,イドメシンコーワゾル１％･４５g(院外専用),62
4490028F1043,◇ﾚﾎﾞｾﾁﾘｼﾞﾝ塩酸塩錠5mg,3
2331006X1071,◇ﾊﾟﾝｸﾚｱﾁﾝ,2
2331006X1098,◇ﾊﾟﾝｸﾚｱﾁﾝ,1
6250703G1022,[入院患者予防用]ｲﾅﾋﾞﾙ吸入粉末剤20mg(2吸入/1容器),8
3211001X1253,◇乳酸ｶﾙｼｳﾑ水和物原末,3
1319720Q3132,◇ﾋｱﾙﾛﾝ酸ﾅﾄﾘｳﾑPF点眼液0.1%,18
,アイセット（ＩＴ－３０Ｙ）,84
3299504A4032,イントラリポス輸液10%(250mL)(院外専用),68
3259515G2035,ピーエヌツイン２号輸液1100mL(院外専用),54
3259515G3031,ピーエヌツイン３号輸液1200mL(院外専用),15
3319500A3067,ソルデム１注(500mL)(院外/退院),8
,アイセット（ＩＩＢ－ＩＴ－３０ＹＮ）,32
2190016R2021,カリメートﾄﾞﾗｲｼﾛｯﾌﾟ(5g/5.4g/包)（院外）,25
3999026F2073,◇ﾐﾉﾄﾞﾛﾝ酸錠50mg,3
2239001F1475,◇ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg,38
3334400G1022,ﾍﾊﾟﾘﾝｶﾙｼｳﾑ皮下注ｼﾘﾝｼﾞ(5千単位/0.2mL),224
1179051F3048,◇ﾐﾙﾀｻﾞﾋﾟﾝOD錠15mg,1
1141001X1118,◇ｱｾﾄｱﾐﾉﾌｪﾝ｢JG｣原末,5
5200065D1031,◇ﾂﾑﾗ四物湯ｴｷｽ顆粒ｲ),8
3112004M2194,◇ｶﾙｼﾄﾘｵｰﾙｶﾌﾟｾﾙ0.5μg,17
7290007D1027,アラグリオ顆粒剤分包(１．５ｇ／包）,20
2699717N1028,ブイタマークリーム１％・１５ｇ(院外専用),5
3969103F1024,☆リオベル配合錠ＬＤ（院外専用）(AL25/P15),17
3969101F1025,ソニアス配合錠ＬＤ（院外専用）(P15/G1),11
3969101F1025,◇ｿﾆｱｽ配合錠LD,5
1190012F4076,◇ﾄﾞﾈﾍﾟｼﾞﾙ塩酸塩OD錠5mg,3
2329028F1104,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙNa錠10mg,13
7990101F1035,ビジクリア配合錠（５０錠／袋）,30
2189017F1120,◇ﾛｽﾊﾞｽﾀﾁﾝ錠2.5mg,15
3969012F3028,◇ﾈｼｰﾅ錠25mg,48
1319813Q1049,リンデロンＡ液５ｍｌ（点眼用）(院外専用),169
1190019F5023,レミニールＯＤ錠８ｍｇ（院外専用）,16
2149045F1029,◇ｾﾗﾗ錠25mg,50
3112001M2395,◇ｱﾙﾌｧｶﾙｼﾄﾞｰﾙｶﾌﾟｾﾙ0.5μg,4
1190019F5104,◇ｶﾞﾗﾝﾀﾐﾝOD錠8mg,3
3399004M4149,◇ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙ粒状ｶﾌﾟｾﾙ900mg,20
1190019F4078,ガランタミンＯＤ錠４ｍｇ「サワイ」,25
2590009F4070,◇ﾅﾌﾄﾋﾟｼﾞﾙOD錠50mg,19
2139001Q1039,◇ｲｿｿﾙﾋﾞﾄﾞ内服ｾﾞﾘｰ70%分包20g,1
1129009F2080,◇ｿﾞﾙﾋﾟﾃﾞﾑ酒石酸塩錠10mg,46
2318001F1063,◇ｶﾞｽｺﾝ錠40mg,30
2149114F2028,◇ｴｯｸｽﾌｫｰｼﾞ配合OD錠,13
2344002X1217,◇酸化ﾏｸﾞﾈｼｳﾑ,32
3961008F1020,◇ｱﾏﾘｰﾙ1mg錠,31
2189016F2172,◇ﾋﾟﾀﾊﾞｽﾀﾁﾝCa錠2mg,9
2149032F4152,◇ｶﾙﾍﾞｼﾞﾛｰﾙ錠2.5mg,1
2189016F2180,◇ﾋﾟﾀﾊﾞｽﾀﾁﾝCa錠2mg,3
3399008F2242,◇ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠75mg,6
2669701M2100,◇ﾊﾟｽﾀﾛﾝｿﾌﾄ軟膏20%,4
3339950Q1104,◇ﾍﾊﾟﾘﾝ類似物質ﾛｰｼｮﾝ0.3%,22
2149112F1022,コディオ配合錠ＭＤ（院外専用）【AD】(V80/H6.25),30
2149112F1022,◇ｺﾃﾞｨｵ配合錠MD,2
3969017F2024,☆オングリザ錠５ｍｇ（院外専用）,44
1124007F1020,(向)ハルシオン錠０．１２５ｍｇ（院外専用）,43
3969017F2024,オングリザ錠５ｍｇ（院外専用）,52
2149040F2308,◇ｶﾝﾃﾞｻﾙﾀﾝ錠4mg,2
2171022F2360,◇ｱﾑﾛｼﾞﾋﾟﾝ錠5mg,19
2590009F4135,◇ﾅﾌﾄﾋﾟｼﾞﾙOD錠50mg,2
2590009F4100,◇ﾅﾌﾄﾋﾟｼﾞﾙOD錠50mg,8
4291010F1155,◇ｱﾅｽﾄﾛｿﾞｰﾙ錠1mg,2
3999019F3029,◇ｱｸﾄﾈﾙ錠75mg,2
2649734Q1093,◇ｼﾞｸﾛﾌｪﾅｸNaｹﾞﾙ1%,1
2189016F4078,◇ﾋﾟﾀﾊﾞｽﾀﾁﾝCa･OD錠1mg,4
8114005S1024,オプソ内服液（５ｍｇ／２．５ｍｌ）【AD】,97
8114004G1027,ＭＳコンチン錠１０ｍｇ【AD】,48
4291032M3021,☆アレセンサカプセル１５０ｍｇ,126
4291055F2027,☆ローブレナ錠１００ｍｇ,14
8119002G7022,オキシコンチンＴＲ錠２０ｍｇ【AD】,168
8119002G8029,オキシコンチンＴＲ錠４０ｍｇ【AD】,59
1179045F8028,◇ｴﾋﾞﾘﾌｧｲ錠1mg,21
2639701Q1025,◇ｾﾞﾋﾞｱｯｸｽﾛｰｼｮﾝ2%,10
1147002F1617,◇ｼﾞｸﾛﾌｪﾅｸNa錠25mg,3
3399002F3047,◇ｼﾛｽﾀｿﾞｰﾙOD錠50mg,11
2634710M1085,◇ｹﾞﾝﾀﾏｲｼﾝ硫酸塩軟膏0.1%,5
2655709N1088,◇ｹﾄｺﾅｿﾞｰﾙｸﾘｰﾑ2%,7
2649729S3114,◇ｹﾄﾌﾟﾛﾌｪﾝﾃｰﾌﾟ40mg,6
2439400G1020,フォルテオ皮下注キット(600μg/2.4mL),16
2149010G1047,☆セロケンＬ錠１２０ｍｇ(院外専用)【AD】,13
2149010G1047,◇ｾﾛｹﾝL錠120mg,4
2149046F2062,◇ｲﾙﾍﾞｻﾙﾀﾝ錠100mg,3
6113700M1023,バンコマイシン眼軟膏１％・５ｇ,30
1149704S1020,ノルスパンテープ5mg（院外専用）【AD】,8
1169017F2021,◇ｱｼﾞﾚｸﾄ錠1mg,22
1169011F1044,◇ｶﾍﾞﾙｺﾞﾘﾝ錠0.25mg,2
1169011F2040,◇ｶﾍﾞﾙｺﾞﾘﾝ錠1.0mg,1
1169013G1022,◇ﾚｷｯﾌﾟCR錠2mg,8
1190019F2024,◇ﾚﾐﾆｰﾙ錠8mg,1
1169011F2024,カバサール錠１ｍｇ,215
2669701Q1040,◇ｳﾚﾊﾟｰﾙﾛｰｼｮﾝ10%,11
2123016F3100,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠0.625mg,15
2329022H2082,◇ｵﾒﾌﾟﾗｿﾞｰﾙ錠10mg,29
2149026F2022,◇ｶﾙﾃﾞﾅﾘﾝ錠1mg,12
3132002B1034,【限】ニコチン酸ｱﾐﾄﾞ散｢ｿﾞﾝﾈ｣(成分量入力),48
3969006F1038,◇ﾌｧｽﾃｨｯｸ錠30,8
2290806G2028,◇ｱﾃｷｭﾗ吸入用ｶﾌﾟｾﾙ中用量,4
2290805G2023,ビレーズトリエアロスフィア120吸入【AD】,61
2189011F2080,◇ｼﾝﾊﾞｽﾀﾁﾝ錠10,1
1129010F2032,◇ｴｽｿﾞﾋﾟｸﾛﾝ錠2mg,41
6132002R4094,セファレキシンDS小児用日医工(成分量入力),174
2149042F2137,◇ﾃﾙﾐｻﾙﾀﾝ錠40mg,5
3112001M3294,◇ｱﾙﾌｧｶﾙｼﾄﾞｰﾙｶﾌﾟｾﾙ1μg,67
3211001X1270,◇乳酸ｶﾙｼｳﾑ原末,8
3999022F1028,サーティカン錠０．２５ｍｇ,912
1179037F1037,◇ﾃﾞｼﾞﾚﾙ錠25,18
2149049F3020,◇ﾐﾈﾌﾞﾛ錠5mg,12
2647709N1078,◇ﾍﾞﾄﾉﾊﾞｰﾙGｸﾘｰﾑ0.12%,2
2399706M1125,デキサメタゾン口腔用軟膏0.1%・5g「NK」,7
2559813M1021,◇ﾎﾞﾗｻﾞG軟膏,19
6132008M2024,◇ｾﾌｽﾊﾟﾝｶﾌﾟｾﾙ100mg,1
6132002F1099,◇ｾﾌｧﾚｷｼﾝ錠250,5
2413404G2028,ゴナールエフ皮下注ペン900単位(院外専用),256
1169011F1028,◇ｶﾊﾞｻｰﾙ錠0.25mg,3
6241008F2020,◇ｼﾌﾟﾛｷｻﾝ錠200mg,2
1319753Q1045,◇ﾓｷｼﾌﾛｷｻｼﾝ点眼液0.5%,16
3969020F2026,☆ルセフィ錠５ｍｇ（院外専用）,23
3969020F2026,◇ﾙｾﾌｨ錠5mg,20
3969020F2026,ルセフィ錠５ｍｇ（院外専用）,41
2144002C1036,エナラート細粒（成分量で入力のこと）,574
2123016F3088,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠0.625mg,22
2144002F1148,◇ｴﾅﾗﾌﾟﾘﾙM錠2.5,8
2189018F1060,◇ｴｾﾞﾁﾐﾌﾞ錠10mg,6
2590008N2183,◇ﾀﾑｽﾛｼﾝ塩酸塩ｶﾌﾟｾﾙ0.2mg,2
3999013F1266,◇ｴﾊﾟﾙﾚｽﾀｯﾄ錠50mg,1
2290801G2041,◇ﾌﾞﾃﾞﾎﾙ吸入粉末剤60吸入,11
2149117F1084,◇ﾃﾗﾑﾛ配合錠AP,1
2189018F1051,◇ｴｾﾞﾁﾐﾌﾞ錠10mg,16
3999013F1100,◇ｴﾊﾟﾙﾚｽﾀｯﾄ錠50mg,3
2590008F2138,◇ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg,10
3399008F2080,◇ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠75mg,6
2149039F1082,◇ﾛｻﾙﾀﾝK錠25mg,1
1179038S1021,☆リスパダール内用液(0.5mg/包)(院外専用),36
2123016F2251,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠5mg,5
2139011F3069,◇ﾄﾙﾊﾞﾌﾟﾀﾝOD錠7.5mg,8
3949003F2100,◇ﾌｪﾌﾞｷｿｽﾀｯﾄ錠20mg,8
6219001H2095,◇ｻﾗｿﾞｽﾙﾌｧﾋﾟﾘｼﾞﾝ腸溶錠250mg,3
2149030N3020,ヒポカカプセル１５ｍｇ（院外専用）,12
2149030N3020,◇ﾋﾎﾟｶ15mgｶﾌﾟｾﾙ,1
2149032F2087,◇ｶﾙﾍﾞｼﾞﾛｰﾙ錠20mg,17
,HMPL-013(fruquintinib)ｶﾌﾟｾﾙ【5mg】(25個/本)(消外･200034),1
3999021F1040,◇ﾗﾛｷｼﾌｪﾝ塩酸塩錠60mg,1
2499011M1051,◇ﾃﾞｭﾀｽﾃﾘﾄﾞｶﾌﾟｾﾙ0.5mgAV,5
4229101F2022,☆ティーエスワン配合ＯＤ錠Ｔ２５（院外）,185
2149039F1074,◇ﾛｻﾙﾀﾝK錠25mg,29
2492414G6020,☆ヒューマログミックス２５注ミリオペン(300単位/3mL)(院外専用)【AD】,22
2129002M2139,☆リスモダンカプセル１００ｍｇ(院外専用),9
2129002M2139,リスモダンカプセル１００ｍｇ(院外専用),8
2171022F3226,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠2.5mg,11
4490017M1079,◇ﾌﾟﾗﾝﾙｶｽﾄｶﾌﾟｾﾙ112.5mg,38
2149010G1047,セロケンＬ錠１２０ｍｇ(院外専用)【AD】,7
2149113F1027,ミコンビ配合錠ＡＰ（院外専用）【AD】(T40/H12.5),51
3969108F1027,☆トラディアンス配合錠ＡＰ(EM10/LI5),122
1190012F3029,◇ｱﾘｾﾌﾟﾄD錠3mg,12
5200125D1035,ﾂﾑﾗ白虎加人参湯(3g/包)TJ-34(院外),99
3999016M1021,◇ﾘｳﾏﾄﾚｯｸｽｶﾌﾟｾﾙ2mg,10
3999468G1028,ﾒﾄｼﾞｪｸﾄ皮下注ｼﾘﾝｼﾞ(7.5mg/0.15mL)(院外),7
1149038G5025,ツートラム錠２５ｍｇ（院外専用）,50
3999468G5023,ﾒﾄｼﾞｪｸﾄ皮下注ﾍﾟﾝ(7.5mg/0.15mL)(院外),7
2357701K3140,ケンエーＧ浣腸液５０％(Ｌタイプ)３０ｍｌ,176
3259118S1024,◇ﾗｺｰﾙNF配合経腸用液,18
2189010F2345,◇ﾌﾟﾗﾊﾞｽﾀﾁﾝNa錠10mg,16
2189010F2426,◇ﾌﾟﾗﾊﾞｽﾀﾁﾝNa錠10mg,1
2129009F1054,◇ﾌﾚｶｲﾆﾄﾞ酢酸塩錠50mg,2
2399010F1265,◇ﾓｻﾌﾟﾘﾄﾞｸｴﾝ酸塩錠2.5mg,2
2649734S1074,◇ﾎﾞﾙﾀﾚﾝﾃｰﾌﾟ15mg,3
1179052F1031,◇ﾃﾞｭﾛｷｾﾁﾝ錠20mg,2
2149044F2047,◇ｵﾙﾒｻﾙﾀﾝ錠20mg,2
3969007F1172,◇ﾋﾟｵｸﾞﾘﾀｿﾞﾝ錠15mg,5
2312001X1057,◇ﾀﾝﾆﾝ酸ｱﾙﾌﾞﾐﾝ,7
2149039F2259,◇ﾛｻﾙﾀﾝｶﾘｳﾑ錠50mg,4
2499014F2028,☆リベルサス錠７ｍｇ,21
1319750Q1025,パピロックミニ点眼液0.1%･0.4ml(院外専用),10
2183007G2027,◇ﾊﾟﾙﾓﾃﾞｨｱXR錠0.4mg,1
2449003F1021,プリモボラン錠５ｍｇ【AD】,128
2449003F1021,◇ﾌﾟﾘﾓﾎﾞﾗﾝ錠5mg,20
2149044F6042,◇ｵﾙﾒｻﾙﾀﾝOD錠20mg,52
3962002F2108,◇ﾒﾄﾎﾙﾐﾝ塩酸塩錠250mgMT,39
1190018F6041,◇ﾒﾏﾝﾁﾝ塩酸塩OD錠20mg,3
3961007F1166,◇ｸﾞﾘｸﾗｼﾞﾄﾞ錠40mg,15
,【CAMBRIA-1】ﾀﾓｷｼﾌｪﾝ錠20mg(192錠/本)(乳外･230036),4
2325003F2250,◇ﾌｧﾓﾁｼﾞﾝ錠20mg,23
7990100A1106,◇ﾆﾌﾚｯｸ配合内用剤,1
3339950M1188,◇ﾍﾊﾟﾘﾝ類似物質油性ｸﾘｰﾑ0.3%,14
2189017F2169,◇ﾛｽﾊﾞｽﾀﾁﾝ錠5mg,7
1319726Q1188,◇ｼﾞｸﾛﾌｪﾅｸNa点眼液0.1%,2
4490023F2144,◇ﾌｪｷｿﾌｪﾅｼﾞﾝ塩酸塩錠30mg,2
2190045F1025,フォゼベル錠５ｍｇ,81
1190017M1036,◇ﾌﾟﾚｶﾞﾊﾞﾘﾝｶﾌﾟｾﾙ25mg,2
6123003M1042,カナマイシンカプセル２５０ｍｇ,20
8119003G1029,ナルサス錠２ｍｇ【AD】,167
8119003F1023,ナルラピド錠１ｍｇ【AD】,115
2316004B1036,ビオフェルミンＲ散,112
1149019F1668,◇ﾛｷｿﾌﾟﾛﾌｪﾝNa錠60mg,10
1325703Q1036,ホスミシンＳ耳科用３％･１０ml(院外専用),5
2399716K1020,レクタブル２ｍｇ注腸フォーム１４回【AD】,199
2399009F4024,リアルダ錠１２００ｍｇ,674
6149003F2020,◇ｸﾗﾘｼｯﾄﾞ錠200mg,6
1179052M1081,◇ﾃﾞｭﾛｷｾﾁﾝｶﾌﾟｾﾙ20mg,7
2149117F1041,◇ﾃﾗﾑﾛ配合錠AP,14
3962002F2086,◇ﾒﾄﾎﾙﾐﾝ塩酸塩錠250mgMT,7
5200011F1052,◇ｸﾗｼｴ黄連解毒湯ｴｷｽ錠,6
4490026F2210,◇ﾓﾝﾃﾙｶｽﾄ錠10mg,14
4229001M1027,◇ﾊｲﾄﾞﾚｱｶﾌﾟｾﾙ500mg,9
3327002M1290,◇ﾘｶﾊﾞﾘﾝｶﾌﾟｾﾙ250mg,2
3999442G2020,トルツ皮下注ｵｰﾄｲﾝｼﾞｪｸﾀｰ(80mg/1mL),57
2646731Q1020,フルメタローション１０ｇ（院外専用）,106
4490406G1029,フィラジル皮下注シリンジ(30mg/3mL),12
3327002M1281,◇ﾄﾗﾈｷｻﾑ酸ｶﾌﾟｾﾙ250mg,26
2233002F2146,◇ｶﾙﾎﾞｼｽﾃｲﾝ錠500mg,22
3136004F2308,◇ﾒｺﾊﾞﾗﾐﾝ錠500μg,2
1129009F1238,◇ｿﾞﾙﾋﾟﾃﾞﾑ酒石酸塩錠5mg,3
2290401G2022,ヌーカラ皮下注ペン(100mg/1mL),72
2251001F3081,テオドール錠２００ｍｇ（院外専用）,25
1129007F1026,◇ｱﾓﾊﾞﾝ錠7.5,31
3962002F3082,◇ﾒﾄﾎﾙﾐﾝ塩酸塩錠500mgMT,34
1329707Q3044,◇ﾌﾙﾁｶｿﾞﾝ点鼻液50μg56噴霧用,4
3969010F4033,◇ｼﾞｬﾇﾋﾞｱ錠12.5mg,6
2129005F1200,◇ｼﾞｿﾋﾟﾗﾐﾄﾞ徐放錠150mg,2
2362001F1088,◇ｳﾙｿ錠50mg,16
4291052F2023,◇ﾘﾑﾊﾟｰｻﾞ錠150mg,12
4291033F1024,☆ザイティガ錠２５０ｍｇ(前立腺癌治療剤),159
2149045F3021,◇ｾﾗﾗ錠100mg,19
2790820Q1040,◇ﾈｵｽﾃﾘﾝｸﾞﾘｰﾝうがい液0.2%,15
,マイホームぴこセット(標準タイプ)(7ｾｯﾄ入),66
3420429H1034,ミッドペリックＬ１３５腹膜透析液シングル２．５Ｌ,66
2149044F7022,◇ｵﾙﾒﾃｯｸOD錠40mg,2
2149044F4023,◇ｵﾙﾒﾃｯｸ錠40mg,1
3949003F2119,◇ﾌｪﾌﾞｷｿｽﾀｯﾄ錠20mg,8
2149044F7111,◇ｵﾙﾒｻﾙﾀﾝOD錠40mg,1
3949003F2135,◇ﾌｪﾌﾞｷｿｽﾀｯﾄ錠20mg,11
2149044F7120,◇ｵﾙﾒｻﾙﾀﾝOD錠40mg,3
3112004M1023,ロカルトロールカプセル0.25μg（院外専用）,8
1190019F5023,◇ﾚﾐﾆｰﾙOD錠8mg,2
3961008F4020,◇ｸﾞﾘﾒﾋﾟﾘﾄﾞOD錠1mg,1
1179001M2026,☆アモキサンカプセル２５ｍｇ,19
1179008F1022,☆ルジオミール錠１０ｍｇ,37
1179008F1022,ルジオミール錠１０ｍｇ,25
2189010F1330,◇ﾌﾟﾗﾊﾞｽﾀﾁﾝNa錠5mg,4
1179017F1064,◇炭酸ﾘﾁｳﾑ錠100mg,5
2399012M1026,エボザックカプセル３０ｍｇ(院外専用）,133
2492422G1023,☆インスリン リスプロＢＳ注ソロスターHU「ｻﾉﾌｨ」(300単位/3mL)(院外専用)【AD】,55
2329028F1031,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙNa錠10mg,21
3999016F1030,◇ﾒﾄﾄﾚｷｻｰﾄ錠2mg,34
1124014F2034,◇ｾﾊﾟｿﾞﾝ錠2,14
1124014F1038,☆セパゾン錠１ｍｇ,279
1124014F1038,(向)セパゾン錠１ｍｇ,435
2329009F1187,◇ｽﾙﾋﾟﾘﾄﾞ錠50mg,8
2316020B1027,◇ﾋﾞｵﾌｪﾙﾐﾝ散剤,18
2399009D2020,◇ﾍﾟﾝﾀｻ顆粒94%,30
3160002M2095,◇ﾒﾅﾃﾄﾚﾉﾝｶﾌﾟｾﾙ15mg,2
1179057G2028,◇ｲﾝﾁｭﾆﾌﾞ錠3mg,14
2362001F2246,◇ｳﾙｿﾃﾞｵｷｼｺｰﾙ酸錠100mg,3
1179050F4066,◇ｱﾄﾓｷｾﾁﾝ錠40mg,1
1179057G1021,インチュニブ錠１ｍｇ（院外専用）,54
1179050F4023,◇ｱﾄﾓｷｾﾁﾝ錠40mg,3
1149704S2027,◇ﾉﾙｽﾊﾟﾝﾃｰﾌﾟ10mg,10
2439401G1024,テリボン皮下注28.2μgｵｰﾄｲﾝｼﾞｪｸﾀｰ,179
2149046F5029,◇ｲﾙﾍﾞｻﾙﾀﾝOD錠100mg,9
2149046F5037,◇ｲﾙﾍﾞｻﾙﾀﾝOD錠100mg,3
6290004M1029,◇ｲﾄﾘｿﾞｰﾙｶﾌﾟｾﾙ50,7
6290004F2069,◇ｲﾄﾗｺﾅｿﾞｰﾙ錠100mg,1
2139005F1109,◇ﾌﾛｾﾐﾄﾞ錠20mg,10
2119006F2026,◇ﾋﾟﾓﾍﾞﾝﾀﾞﾝ錠2.5mg,15
3999001Q6029,◇ﾗｸﾞﾉｽNF経口ｾﾞﾘｰ分包12g,23
4291007F1021,☆フェアストン錠４０ｍｇ【AD】(院外専用),54
2413402X4137,ゴナトロピン注用（５０００単位）【AD】,11
2419700Q1035,デスモプレシン点鼻液0.01％･2.5ｍｌ【AD】,5
1149037F1119,◇ｾﾚｺｷｼﾌﾞ錠100mg,1
8119002B2023,(麻)ｵｷﾉｰﾑ散2.5mg,25
3259533G2025,エルネオパＮＦ１号輸液1500mL(院外/退院),51
2492403A4051,☆ヒューマリンＲ注バイアル(1000単位/10mL)【AD】,5
1149032F2139,◇ｴﾄﾄﾞﾗｸ錠200mg,11
1169012G1028,ミラペックスＬＡ錠0.375mg,147
6250029F1059,◇ｴﾝﾃｶﾋﾞﾙ錠0.5mg,10
1179052F2020,◇ﾃﾞｭﾛｷｾﾁﾝ錠30mg,2
2149111F1028,エカード配合錠ＬＤ（院外専用）【AD】(C4/H6.25),13
2149111F1028,◇ｴｶｰﾄﾞ配合錠LD,1
3969010F1026,グラクティブ錠２５ｍｇ（院外専用）,137
1149032F2023,ハイペン錠２００ｍｇ（院外専用）,51
1145005M1020,インフリーカプセル１００ｍｇ（院外専用）,5
2189015F1082,◇ｱﾄﾙﾊﾞｽﾀﾁﾝ錠5mg,10
2344009C1047,◇酸化ﾏｸﾞﾈｼｳﾑ細粒83%,8
2482800S1026,メノエイドコンビパッチ（院外専用）,161
4291045F1027,☆タグリッソ錠４０ｍｇ,115
8119002S2023,(麻)ｵｷｼｺﾄﾞﾝ内服液(5mg/2.5mL/包)(院外)【AD】,7
6152005F1095,◇ﾐﾉｻｲｸﾘﾝ塩酸塩錠50mg,31
1179051F3021,◇ﾐﾙﾀｻﾞﾋﾟﾝOD錠15mg,1
8119002G6026,(麻)ｵｷｼｺﾝﾁﾝTR錠10mg,57
8119002G7022,(麻)ｵｷｼｺﾝﾁﾝTR錠20mg,37
8119002S2023,(麻)ｵｷｼｺﾄﾞﾝ内服液5mg,1
6241019F1021,ラスビック錠７５ｍｇ（院外専用）,65
2659710Q1094,◇ﾃﾙﾋﾞﾅﾌｨﾝ塩酸塩外用液1%,7
2649728M1070,◇ｽﾀﾃﾞﾙﾑ軟膏5%,2
5200017D1083,◇ﾂﾑﾗ加味逍遙散ｴｷｽ顆粒ｲ),25
2329029M1043,◇ｴｿﾒﾌﾟﾗｿﾞｰﾙｶﾌﾟｾﾙ10mg,4
8114005S1024,(麻)ｵﾌﾟｿ内服液5mg,3
8114005S2020,(麻)ｵﾌﾟｿ内服液10mg,1
8114004G2023,(麻)MSｺﾝﾁﾝ錠30mg,3
2454700J2024,リンデロン坐剤１ｍｇ（院外専用）【AD】,4
3941001F1077,◇ｺﾙﾋﾁﾝ錠0.5mg,21
2649729S3190,◇ｹﾄﾌﾟﾛﾌｪﾝﾃｰﾌﾟ40mg,5
2634713M1062,◇ｸﾘﾝﾀﾞﾏｲｼﾝﾘﾝ酸ｴｽﾃﾙｹﾞﾙ1%,4
2314002F2022,◇ｷｮｳﾍﾞﾘﾝ錠100,1
2634713M1070,◇ｸﾘﾝﾀﾞﾏｲｼﾝｹﾞﾙ1%,1
1149038G4029,ツートラム錠１５０ｍｇ（院外専用）,52
1172014F1027,ヒルナミン錠５ｍｇ（院外専用）,5
1179051F2025,リフレックス錠３０ｍｇ（院外専用）,36
1149038G4029,◇ﾂｰﾄﾗﾑ錠150mg,6
1141007F2051,◇ｱｾﾄｱﾐﾉﾌｪﾝ錠300mg,6
1139004G3027,セレニカＲ錠４００ｍｇ（院外専用）,23
1149038G4029,ツートラム錠１５０ｍｇ(院外専用)【AD】,1
2329023M2077,◇ﾗﾝｿﾌﾟﾗｿﾞｰﾙｶﾌﾟｾﾙ30mg,1
1124029F1123,◇ﾛﾌﾗｾﾞﾌﾟ酸ｴﾁﾙ錠1mg,37
1339005F1407,◇ﾍﾞﾀﾋｽﾁﾝﾒｼﾙ酸塩錠6mg,26
6152004F2089,ビブラマイシン錠１００ｍｇ,60
1179025F3029,◇ﾃﾞﾊﾟｽ錠0.25mg,20
2318001F3023,◇ｶﾞｽｺﾝ錠80mg,11
2259707S3040,◇ﾂﾛﾌﾞﾃﾛｰﾙﾃｰﾌﾟ2,4
2190006M1202,ﾄｺﾌｪﾛｰﾙﾆｺﾁﾝ酸ｴｽﾃﾙｶﾌﾟｾﾙ１００ｍｇ「ＮＰ」,3
5200110C1041,ｸﾗｼｴ当帰四逆加呉茱萸生姜湯3.75ｇKB38院外,31
3323702Q3020,トロンビン液ｿﾌﾄﾎﾞﾄﾙ１万単位,24
2691702M1036,オキサロール軟膏（２５μｇ／ｇ）１０ｇ,146
2149010F1033,◇ﾛﾌﾟﾚｿｰﾙ錠20mg,4
2646725N1150,◇ﾏｲｻﾞｰｸﾘｰﾑ0.05%,14
3999441G1029,ルミセフ皮下注シリンジ(210mg/1.5mL),6
2655710M1034,アスタット軟膏１％・１０ｇ（院外専用）,13
6290005F1075,◇ﾃﾙﾋﾞﾅﾌｨﾝ錠125mg,7
2242001B2289,◇ｺﾃﾞｲﾝﾘﾝ酸塩散1%,5
2149017F1035,◇ﾜｲﾃﾝｽ錠2mg,21
1190027F3025,☆デエビゴ錠１０ｍｇ（院外専用）,21
1190027F3025,◇ﾃﾞｴﾋﾞｺﾞ錠10mg,41
2242002B2194,◇ﾘﾝ酸ｼﾞﾋﾄﾞﾛｺﾃﾞｲﾝ散1%｢ﾒﾀﾙ｣,1
2149001F1034,カタプレス錠７５μｇ,484
